Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar
2016-07-30 00:00:00+00:00,136.657,3.6900000000000004,4.247,0.6430000000000003,7.9369999999999985
2016-07-31 00:00:00+00:00,127.10100000000001,14.425999999999998,3.4540000000000006,0.5700000000000002,17.879999999999995
2016-08-01 00:00:00+00:00,153.33300000000003,15.603000000000003,3.649,0.6900000000000004,19.251999999999995
2016-08-02 00:00:00+00:00,153.32500000000002,4.683999999999999,4.08,0.7630000000000003,8.764000000000001
2016-08-03 00:00:00+00:00,156.203,5.4159999999999995,3.9779999999999993,0.7030000000000004,9.394000000000002
2016-08-04 00:00:00+00:00,159.033,12.995000000000001,4.073,0.6810000000000004,17.068
2016-08-05 00:00:00+00:00,160.747,25.123000000000005,3.2550000000000003,0.7620000000000003,28.378
2016-08-06 00:00:00+00:00,135.82699999999997,29.815,3.738,0.6020000000000003,33.553000000000004
2016-08-07 00:00:00+00:00,124.08699999999999,10.083000000000002,4.6739999999999995,0.3680000000000001,14.757
2016-08-08 00:00:00+00:00,156.011,2.5220000000000002,4.773,0.6340000000000003,7.294999999999999
2016-08-09 00:00:00+00:00,163.293,11.826,3.2470000000000003,0.7010000000000004,15.072999999999999
2016-08-10 00:00:00+00:00,163.245,17.61,2.5269999999999992,0.6650000000000004,20.137000000000004
2016-08-11 00:00:00+00:00,157.603,16.788,4.108,0.6600000000000004,20.896
2016-08-12 00:00:00+00:00,157.49399999999997,6.720999999999999,3.112,0.6860000000000003,9.832999999999998
2016-08-13 00:00:00+00:00,135.286,3.0020000000000002,4.313,0.45100000000000023,7.314999999999999
2016-08-14 00:00:00+00:00,122.748,3.325,4.496,0.4680000000000002,7.821
2016-08-15 00:00:00+00:00,127.357,3.501999999999999,3.774,0.6550000000000004,7.276000000000001
2016-08-16 00:00:00+00:00,161.13900000000007,1.4780000000000002,3.8779999999999992,0.7320000000000004,5.356
2016-08-17 00:00:00+00:00,162.47799999999998,5.079,3.559,0.7320000000000004,8.638
2016-08-18 00:00:00+00:00,165.01899999999998,5.125,3.467,0.7270000000000004,8.591999999999999
2016-08-19 00:00:00+00:00,162.97299999999998,2.448,3.7170000000000005,0.7240000000000004,6.165000000000001
2016-08-20 00:00:00+00:00,140.71700000000004,9.675,3.453,0.6080000000000002,13.128000000000002
2016-08-21 00:00:00+00:00,132.45700000000002,21.409000000000002,2.8369999999999997,0.39800000000000013,24.246
2016-08-22 00:00:00+00:00,164.616,32.57999999999999,3.706,0.6910000000000004,36.286
2016-08-23 00:00:00+00:00,164.307,15.465,4.370000000000001,0.7350000000000004,19.835
2016-08-24 00:00:00+00:00,168.14900000000003,8.27,4.3180000000000005,0.7260000000000004,12.588000000000001
2016-08-25 00:00:00+00:00,169.03900000000002,3.7320000000000007,4.406000000000001,0.6910000000000003,8.138
2016-08-26 00:00:00+00:00,165.46500000000003,10.715,4.3870000000000005,0.7120000000000003,15.102
2016-08-27 00:00:00+00:00,140.673,16.246000000000006,4.331,0.6370000000000003,20.576999999999998
2016-08-28 00:00:00+00:00,130.83100000000002,16.655,4.217999999999999,0.4690000000000003,20.872999999999998
2016-08-29 00:00:00+00:00,172.15899999999996,11.991999999999999,2.717,0.6710000000000003,14.708999999999998
2016-08-30 00:00:00+00:00,170.185,12.994000000000002,3.342,0.7800000000000005,16.336000000000002
2016-08-31 00:00:00+00:00,169.343,3.7149999999999994,4.1899999999999995,0.7590000000000003,7.904999999999999
2016-09-01 00:00:00+00:00,171.48900000000003,1.831,4.274000000000001,0.7710000000000005,6.104999999999998
2016-09-02 00:00:00+00:00,168.519,2.665,3.809999999999999,0.7530000000000004,6.475000000000001
2016-09-03 00:00:00+00:00,142.722,1.654,3.4330000000000003,0.6620000000000003,5.087000000000001
2016-09-04 00:00:00+00:00,133.355,7.231,3.6529999999999996,0.5220000000000002,10.884
2016-09-05 00:00:00+00:00,169.84400000000002,30.142000000000003,2.7319999999999998,0.7820000000000005,32.87400000000001
2016-09-06 00:00:00+00:00,175.39999999999998,29.182999999999996,2.5629999999999993,0.8420000000000003,31.746000000000002
2016-09-07 00:00:00+00:00,171.408,3.7560000000000002,3.807,0.7470000000000003,7.5630000000000015
2016-09-08 00:00:00+00:00,172.33899999999997,2.3060000000000005,3.9979999999999998,0.7290000000000004,6.3039999999999985
2016-09-09 00:00:00+00:00,168.18200000000002,0.6870000000000002,3.990999999999999,0.7670000000000003,4.678
2016-09-10 00:00:00+00:00,143.14899999999997,0.7890000000000003,3.7169999999999996,0.6680000000000003,4.506
2016-09-11 00:00:00+00:00,132.029,1.1500000000000001,3.7520000000000002,0.6280000000000001,4.902
